response	cell_type	term	estimate	statistic	p.value
cg10543797	Bcells	Bcells_proportion	0.03418155003934451	0.8756227440250013	0.3815591062815782
cg10543797	Bcells	disease:Bcells_proportion	0.10805465467573766	1.7964459198509126	0.07288854803673704
cg10543797	NK	(Intercept)	0.8078687962417933	184.8856392324238	0.0
cg10543797	NK	disease	-0.0017945579668000224	-0.5433319273352601	0.5870878499344163
cg10543797	NK	sexF	-0.006382103405369981	-3.762232632335346	0.00018364010933323596
cg10543797	NK	age	-4.2977001051941403e-05	-0.6508170017593906	0.515394966738844
cg10543797	NK	smoking_current	-0.0007903674953774796	-0.3977634778422297	0.6909353382738915
cg10543797	NK	smoking_ex	-0.003088822441381338	-1.605400006268036	0.10889224748975504
cg10543797	NK	smoking_occasional	0.00017485245492601144	0.06316309419895785	0.9496560807539631
cg10543797	NK	NK_proportion	0.027498580220891036	1.167686529297756	0.2433620351765186
cg10543797	NK	disease:NK_proportion	-0.01105713730017377	-0.2900348209665421	0.7718822405114938
cg10543797	Nue	(Intercept)	0.8079857124483321	111.28036889776082	0.0
cg10543797	Nue	disease	0.012532960340170637	1.4161301356042335	0.15721715552621254
cg10543797	Nue	sexF	-0.006527722212333745	-3.9136104288861864	0.00010052748356484532
cg10543797	Nue	age	-2.5027252582658046e-05	-0.3870754453903973	0.6988272472589061
cg10543797	Nue	smoking_current	-0.0014133392059162528	-0.7192643697159994	0.4722369486854314
cg10543797	Nue	smoking_ex	-0.003438653280457026	-1.7868909272678684	0.07442173280012894
cg10543797	Nue	smoking_occasional	-0.00013780734621440826	-0.049808008985846225	0.960290708917519
cg10543797	Nue	Nue_proportion	0.0034577169322788145	0.32424166617926065	0.7458595511135808
cg10543797	Nue	disease:Nue_proportion	-0.024980113302683866	-1.6962131653131052	0.09032507032598658
cg10543797	Eos	(Intercept)	0.8102187807189051	199.91531073901987	0.0
cg10543797	Eos	disease	-0.003579104856303285	-2.229644714535972	0.026112398979479683
cg10543797	Eos	sexF	-0.006663834039326344	-3.9890662971724833	7.388668586499024e-05
cg10543797	Eos	age	-2.2232976997545833e-05	-0.34455064728001633	0.7305438326676261
cg10543797	Eos	smoking_current	-0.0010318351079087068	-0.5256168354504268	0.5993339924576263
cg10543797	Eos	smoking_ex	-0.0031057457833191067	-1.6123545476773145	0.10737095182443254
cg10543797	Eos	smoking_occasional	0.00038460001236364214	0.13891133332328962	0.8895633072800829
cg10543797	Eos	Eos_proportion	-0.058302894245009805	-1.1951103851341174	0.23248043554997064
cg10543797	Eos	disease:Eos_proportion	0.022734614348815914	0.3646013303054836	0.7155277894877723
cg22718169	CD4.	(Intercept)	0.8979303583471407	189.48393229648215	0.0
cg22718169	CD4.	disease	0.015878079216555846	4.794218010944978	2.0267243233983603e-06
cg22718169	CD4.	sexF	0.0024075766103454433	1.3923068472933422	0.16430636017710135
cg22718169	CD4.	age	-0.00037230244933775323	-5.598805624619136	3.1879015530920766e-08
cg22718169	CD4.	smoking_current	0.0026333082935185116	1.295958333514144	0.195450525924831
cg22718169	CD4.	smoking_ex	0.0016524231653910725	0.8328447725355991	0.40523865467146225
cg22718169	CD4.	smoking_occasional	-0.000278890073202026	-0.09762495562935618	0.9222602487202379
cg22718169	CD4.	CD4._proportion	0.021933222559398096	1.123083890749762	0.2618171457900087
cg22718169	CD4.	disease:CD4._proportion	-0.09848178665927579	-3.3609070132280574	0.000822433090638466
cg22718169	CD8.	(Intercept)	0.9259473682702188	225.88375250082498	0.0
cg22718169	CD8.	disease	-0.006136915576143179	-2.324974678381238	0.02038081937263354
cg22718169	CD8.	sexF	0.0033876343592493686	2.247225150219562	0.02496081092094158
cg22718169	CD8.	age	-0.0004102974678652604	-7.053427438431274	4.486521606348902e-12
cg22718169	CD8.	smoking_current	0.0011999978314879995	0.6776739148398251	0.49821997983210786
cg22718169	CD8.	smoking_ex	0.0001481593674426485	0.08523993888464199	0.9320969276546335
cg22718169	CD8.	smoking_occasional	-0.0005603877585006356	-0.22442142640832188	0.8225000344037164
cg22718169	CD8.	CD8._proportion	-0.2469776995757914	-12.956564667354352	2.6063070704954082e-34
cg22718169	CD8.	disease:CD8._proportion	0.09803336577340034	3.4682267810409035	0.0005585373880604606
cg22718169	mono	(Intercept)	0.8911975794581692	164.19151146853073	0.0
cg22718169	mono	disease	0.00787783580013346	1.5530730690071914	0.12089316476760381
cg22718169	mono	sexF	0.003179093466071493	1.8209562069037846	0.06907382558527539
cg22718169	mono	age	-0.0003881965519090139	-5.821333701668891	9.180424037414762e-09
cg22718169	mono	smoking_current	0.002430663292821816	1.1999529958383912	0.23059544237844054
cg22718169	mono	smoking_ex	0.0016454610346148353	0.8304132686003562	0.4066105339007018
cg22718169	mono	smoking_occasional	-0.00039912470793316483	-0.13988412250463897	0.8887949459513202
cg22718169	mono	mono_proportion	0.1400057326503495	2.720287409446185	0.006697207231282622
cg22718169	mono	disease:mono_proportion	-0.021004910337664218	-0.3083384203833484	0.7579237737624426
cg22718169	Bcells	(Intercept)	0.903602472759827	181.1007454828997	0.0
cg22718169	Bcells	disease	0.01627961620035382	3.753405358842143	0.0001900884247984402
cg22718169	Bcells	sexF	0.0020891932488090043	1.2169990490433515	0.2240469354169388
cg22718169	Bcells	age	-0.00037992459854836226	-5.726658771685608	1.5670048812138194e-08
cg22718169	Bcells	smoking_current	0.00238035479448811	1.1799706659249667	0.23844420378532
cg22718169	Bcells	smoking_ex	0.0017062783210284671	0.8632209068782788	0.38833490511179114
cg22718169	Bcells	smoking_occasional	-0.00012872151101944902	-0.045147421529443045	0.964003690584003
cg22718169	Bcells	Bcells_proportion	-0.03341745467188187	-0.8276956700520655	0.40814711347951327
cg22718169	Bcells	disease:Bcells_proportion	-0.16076582030211517	-2.584261298183305	0.009976060089670611
cg22718169	NK	(Intercept)	0.9084422860542296	204.10842749678423	0.0
cg22718169	NK	disease	0.004172606821386022	1.2402705979878768	0.21532353099486334
cg22718169	NK	sexF	0.0007448880775318386	0.4310960888422114	0.666541651861663
cg22718169	NK	age	-0.00029628386786296725	-4.404859276239889	1.238036632455165e-05
cg22718169	NK	smoking_current	0.00027137541660706213	0.13408110680666166	0.8933800066873552
cg22718169	NK	smoking_ex	0.0012131128716150992	0.6190030333818921	0.5361315718394098
cg22718169	NK	smoking_occasional	-0.0005102450797474761	-0.18095547940637266	0.8564590155238931
cg22718169	NK	NK_proportion	-0.1078536882484396	-4.496268626714539	8.191435437025714e-06
cg22718169	NK	disease:NK_proportion	0.006927073414367282	0.1783850603121127	0.8584762489043886
cg22718169	Nue	(Intercept)	0.8596394026771688	120.46809876274911	0.0
cg22718169	Nue	disease	0.00867343017261183	0.9971976652699294	0.3190402209977346
cg22718169	Nue	sexF	0.0018344751421438136	1.1190993059118517	0.26351179185422824
cg22718169	Nue	age	-0.0003279798542738424	-5.16143522321846	3.261851280344647e-07
cg22718169	Nue	smoking_current	0.0015385498340050102	0.7966995568492574	0.42591688513152504
cg22718169	Nue	smoking_ex	0.0014584403911042914	0.7711506097159192	0.4408983237450048
cg22718169	Nue	smoking_occasional	0.0002377390885643372	0.08743156913533871	0.9303554460256429
cg22718169	Nue	Nue_proportion	0.07233377890870617	6.901784698630996	1.224039722248812e-11
cg22718169	Nue	disease:Nue_proportion	-0.013510332566111179	-0.9334540247863763	0.35093274395637464
cg22718169	Eos	(Intercept)	0.9009165256913211	213.4383199641491	0.0
cg22718169	Eos	disease	0.007196627907547685	4.304615666405334	1.9310798636479275e-05
cg22718169	Eos	sexF	0.002083016129632879	1.1972471295800264	0.23164735800597927
cg22718169	Eos	age	-0.00037442641787840714	-5.571421611335038	3.7050521795881774e-08
cg22718169	Eos	smoking_current	0.0019576134840386247	0.9574806465138335	0.3386812426065572
cg22718169	Eos	smoking_ex	0.0015071098988263948	0.7512485640815038	0.4527753943004186
cg22718169	Eos	smoking_occasional	-0.0007578474033271994	-0.262817477608384	0.792774672170401
cg22718169	Eos	Eos_proportion	0.02228049112193535	0.43851732432752943	0.6611572467817607
cg22718169	Eos	disease:Eos_proportion	-0.01859021570121283	-0.286259017377556	0.77477109627697
cg26398836	CD4.	(Intercept)	0.0776659390954662	24.548985351450863	1.240347027214335e-94
cg26398836	CD4.	disease	0.003598141560674944	1.6273136802322676	0.10415585725591237
cg26398836	CD4.	sexF	-0.00271266873102908	-2.3497671050818085	0.01908380449737916
cg26398836	CD4.	age	-3.628010523448235e-05	-0.8172242587081135	0.4141001763689154
cg26398836	CD4.	smoking_current	-0.0017540059332786912	-1.2929853519126933	0.1964762008084326
cg26398836	CD4.	smoking_ex	-0.000916635963068989	-0.6920108385708859	0.48917801821916496
cg26398836	CD4.	smoking_occasional	-0.0018573946980514737	-0.973879467616848	0.33047922708900823
cg26398836	CD4.	CD4._proportion	0.02595987693940012	1.9910657268586416	0.046892492523000755
cg26398836	CD4.	disease:CD4._proportion	-0.02503948093651354	-1.2799680074840905	0.20101371585087516
cg26398836	CD8.	(Intercept)	0.08259816802273996	26.562674003587468	8.707902607558703e-106
cg26398836	CD8.	disease	0.002498229839348946	1.2476798316043212	0.2125983230247307
cg26398836	CD8.	sexF	-0.0023503526496592556	-2.0553499271578053	0.040244833029428106
cg26398836	CD8.	age	-4.5663180007099544e-05	-1.0348328437365129	0.3011324163892647
cg26398836	CD8.	smoking_current	-0.0015962833970680635	-1.1883735840485088	0.23512093436444118
cg26398836	CD8.	smoking_ex	-0.0007823032912707581	-0.5933239194992134	0.5531711022820915
cg26398836	CD8.	smoking_occasional	-0.001480326042913253	-0.7815121664316065	0.4347863199393941
cg26398836	CD8.	CD8._proportion	-0.01852012005329286	-1.2807920066650496	0.20072423804544262
cg26398836	CD8.	disease:CD8._proportion	-0.03559223626444165	-1.6599367295200893	0.09741024360662048
cg26398836	mono	(Intercept)	0.0835672048663693	23.1683241425461	5.334096712780376e-87
cg26398836	mono	disease	0.0048152526054309	1.4285191979213598	0.15362354519945495
cg26398836	mono	sexF	-0.003129714114981365	-2.697633308521287	0.007164888644608604
cg26398836	mono	age	-3.400074636181247e-05	-0.7672578037750017	0.4432072786253567
cg26398836	mono	smoking_current	-0.00183721777519296	-1.364841163750749	0.17277595419551722
cg26398836	mono	smoking_ex	-0.0008386152522700499	-0.6368710036496711	0.5244334434125439
cg26398836	mono	smoking_occasional	-0.0019997579032835252	-1.0546765086658525	0.2919657668661921
cg26398836	mono	mono_proportion	-0.037787363441441034	-1.1048354621964405	0.2696403171894135
cg26398836	mono	disease:mono_proportion	-0.05526117545769073	-1.2207000759400495	0.2226429112073739
cg26398836	Bcells	(Intercept)	0.08068483152212601	24.168708230517904	1.5797757679381043e-92
cg26398836	Bcells	disease	0.00499286994632089	1.7204825673561406	0.08582141965767383
cg26398836	Bcells	sexF	-0.00258360810433781	-2.2493496954766425	0.02482467531286501
cg26398836	Bcells	age	-4.110446104791481e-05	-0.9260012353245934	0.3547895401965059
cg26398836	Bcells	smoking_current	-0.0015427370301802081	-1.1429839604024035	0.25346670422044715
cg26398836	Bcells	smoking_ex	-0.000717338405694543	-0.542393998615638	0.5877333037916018
cg26398836	Bcells	smoking_occasional	-0.0015097563751477947	-0.7914207083556433	0.428987668701997
cg26398836	Bcells	Bcells_proportion	0.0009841553654334103	0.036431721653588295	0.9709493233443489
cg26398836	Bcells	disease:Bcells_proportion	-0.07299647686264142	-1.7537323672524316	0.0799483879495914
cg26398836	NK	(Intercept)	0.08050693048780026	26.706932502336162	1.3853481655961945e-106
cg26398836	NK	disease	2.099073792818538e-05	0.00921221014070937	0.9926526546804326
cg26398836	NK	sexF	-0.002458381621929744	-2.1006780871505137	0.03605442583071923
cg26398836	NK	age	-4.2221740353918506e-05	-0.9268027389029978	0.35437348194684015
cg26398836	NK	smoking_current	-0.0015715049119962936	-1.1464100138510414	0.25204803535137793
cg26398836	NK	smoking_ex	-0.0008058309043725638	-0.6071033515929467	0.5439946585331069
cg26398836	NK	smoking_occasional	-0.0017791345730785847	-0.9315986637741134	0.3518903886558168
cg26398836	NK	NK_proportion	0.003063043866047335	0.18853744191278823	0.8505143056828786
cg26398836	NK	disease:NK_proportion	0.009103011826840934	0.3461154143496608	0.7293681529254337
cg26398836	Nue	(Intercept)	0.08032234227266193	16.094380217679245	2.73151779965135e-49
cg26398836	Nue	disease	-0.011990034565740975	-1.9710287164031108	0.04914506717580311
cg26398836	Nue	sexF	-0.0026809518132578144	-2.3384492722925203	0.01966664315877566
cg26398836	Nue	age	-3.629112997896506e-05	-0.8165935654789774	0.4144603659451731
cg26398836	Nue	smoking_current	-0.001501966168088948	-1.1120525444245566	0.26652732080844005
cg26398836	Nue	smoking_ex	-0.0005914835770667922	-0.44717278397345456	0.6548995067621872
cg26398836	Nue	smoking_occasional	-0.0014366133978817293	-0.7554221968103549	0.4502697652889859
cg26398836	Nue	Nue_proportion	0.00035273269160343535	0.04812249269964753	0.9616334251434527
cg26398836	Nue	disease:Nue_proportion	0.019560409764687807	1.932355338931658	0.05375051209027619
cg26398836	Eos	(Intercept)	0.08113769181365793	29.113291867129497	7.442527209840007e-120
cg26398836	Eos	disease	0.0001417019906079868	0.1283695768209488	0.8978962740167457
cg26398836	Eos	sexF	-0.0025986863675116125	-2.2621732614453425	0.024016581393374953
cg26398836	Eos	age	-3.463520323747193e-05	-0.7805452889175886	0.43535457241567677
cg26398836	Eos	smoking_current	-0.0015465958079930496	-1.1456730846382384	0.25235271546766885
cg26398836	Eos	smoking_ex	-0.0007469845365168652	-0.5639377523952285	0.5729913108712625
cg26398836	Eos	smoking_occasional	-0.001599998929091766	-0.840374745877231	0.40100779193814307
cg26398836	Eos	Eos_proportion	-0.06031528580011867	-1.7979193684577004	0.07265444183040308
cg26398836	Eos	disease:Eos_proportion	0.0227033730827256	0.5294756086024893	0.596656621724984
cg14656329	CD4.	(Intercept)	0.7266295069597416	59.668903305814354	1.1132069424202645e-265
cg14656329	CD4.	disease	-0.009426422034458192	-1.1075720477214754	0.26845699564664266
cg14656329	CD4.	sexF	-3.9876179103877016e-05	-0.008973743949819847	0.9928428420183275
cg14656329	CD4.	age	0.0001496051281167328	0.875490160136342	0.381631157368139
cg14656329	CD4.	smoking_current	0.0026839981067768026	0.5140162264620189	0.6074156122287662
cg14656329	CD4.	smoking_ex	0.006325459850684125	1.240624018962122	0.2151929680907801
cg14656329	CD4.	smoking_occasional	0.0061299378674116965	0.8350051573075038	0.40402207304941407
cg14656329	CD4.	CD4._proportion	-0.022345584963997855	-0.4452529162233945	0.6562854605568853
cg14656329	CD4.	disease:CD4._proportion	0.051766327598987555	0.6874691695674138	0.49203272084033833
cg14656329	CD8.	(Intercept)	0.7080548067295076	59.09384092638125	2.2516775266171447e-263
cg14656329	CD8.	disease	0.007770845343747713	1.0071936876841001	0.3142170690951318
cg14656329	CD8.	sexF	-0.0006470900242501448	-0.1468559048303402	0.8832913636608356
cg14656329	CD8.	age	0.00016796072557650674	0.9878380703669277	0.3236000933142634
cg14656329	CD8.	smoking_current	0.003591330500735183	0.6938607686813677	0.4880177975802519
cg14656329	CD8.	smoking_ex	0.007357359640696122	1.4481470080830228	0.14805885745290587
cg14656329	CD8.	smoking_occasional	0.006515821892107877	0.8927328880845038	0.3723311239824023
cg14656329	CD8.	CD8._proportion	0.15714532853288643	2.820397053255127	0.004942926113653661
cg14656329	CD8.	disease:CD8._proportion	-0.11835058808710636	-1.4324538711907941	0.15249543743316113
cg14656329	mono	(Intercept)	0.7074413132447218	50.8105143342084	2.241095263342469e-228
cg14656329	mono	disease	0.009506204080627995	0.7305981503965501	0.4652882974856518
cg14656329	mono	sexF	0.00117804977190996	0.2630548508615663	0.792591790722884
cg14656329	mono	age	0.0001252904710222742	0.7324455322951653	0.4641611062946329
cg14656329	mono	smoking_current	0.003572631852027078	0.6875656444236895	0.49197198780675777
cg14656329	mono	smoking_ex	0.00661363503659901	1.3011679974861345	0.19366269621891863
cg14656329	mono	smoking_occasional	0.0063957855438210205	0.8738566037508011	0.3825195800522009
cg14656329	mono	mono_proportion	0.23932989157779172	1.81281041359715	0.07032295348121685
cg14656329	mono	disease:mono_proportion	-0.20318738137790682	-1.1627598168999507	0.24535433046919444
cg14656329	Bcells	(Intercept)	0.7223601819882669	56.14589686508754	2.6260251912483144e-251
cg14656329	Bcells	disease	-0.0049400308821186435	-0.441705054643689	0.6588497839575199
cg14656329	Bcells	sexF	4.218137798674658e-06	0.0009529141718038898	0.9992399774328533
cg14656329	Bcells	age	0.00015126945774259837	0.8842529968879987	0.37688711297641464
cg14656329	Bcells	smoking_current	0.002825889257577904	0.5432579030256987	0.5871387792398579
cg14656329	Bcells	smoking_ex	0.006310525434764828	1.2381093300897539	0.2161232042702615
cg14656329	Bcells	smoking_occasional	0.006195849322633581	0.8427602974432279	0.39967298919010796
cg14656329	Bcells	Bcells_proportion	0.020254086964144977	0.19455006645870623	0.84580608018558
cg14656329	Bcells	disease:Bcells_proportion	0.01366235345963318	0.08517058242983731	0.9321520440438258
cg14656329	NK	(Intercept)	0.7168251133229898	62.048719972439635	4.62660402196918e-275
cg14656329	NK	disease	0.003030218806923781	0.34700760536198366	0.7286980949406381
cg14656329	NK	sexF	0.0006328372134920216	0.14110132386890903	0.8878336822649793
cg14656329	NK	age	9.627253979809666e-05	0.5514199587557337	0.5815356153299893
cg14656329	NK	smoking_current	0.003982067103798961	0.757986859482395	0.4487339909834659
cg14656329	NK	smoking_ex	0.006614398550681664	1.3002831826854635	0.19396549160005672
cg14656329	NK	smoking_occasional	0.006098961277086101	0.8333065740876829	0.40497841522185807
cg14656329	NK	NK_proportion	0.09846704896775746	1.5814817718059833	0.11425511518772706
cg14656329	NK	disease:NK_proportion	-0.07628814752474315	-0.7568708474139952	0.4494019160944036
cg14656329	Nue	(Intercept)	0.7602356068703965	39.598600347463645	2.753562893622264e-175
cg14656329	Nue	disease	-0.030289861207441524	-1.2943851931991446	0.19599276611299585
cg14656329	Nue	sexF	3.595753339143311e-05	0.008153096335911724	0.9934973478467265
cg14656329	Nue	age	0.00011347622305439499	0.6637492927915848	0.5070864971617901
cg14656329	Nue	smoking_current	0.003654426251027019	0.703360696062827	0.4820832366733866
cg14656329	Nue	smoking_ex	0.006790702369791544	1.3345692234957174	0.18248539338884961
cg14656329	Nue	smoking_occasional	0.006045008734979335	0.8263052241179462	0.4089346358367537
cg14656329	Nue	Nue_proportion	-0.06410504348304903	-2.2734653445372004	0.023324025483699565
cg14656329	Nue	disease:Nue_proportion	0.050088859622125816	1.2863048985892713	0.19879535439357618
cg14656329	Eos	(Intercept)	0.7239025444033645	67.42066701553505	2.5277597455125278e-295
cg14656329	Eos	disease	-0.004187406826952489	-0.9846357303521115	0.3251699571575961
cg14656329	Eos	sexF	-4.9375923294396606e-05	-0.011156590754146139	0.9911019416938498
cg14656329	Eos	age	0.00015314202829293534	0.8958164589086492	0.37068293274185826
cg14656329	Eos	smoking_current	0.0030938175149246194	0.5948710740953874	0.5521369923572442
cg14656329	Eos	smoking_ex	0.0065376220983691165	1.2811018159622773	0.20061547836125126
cg14656329	Eos	smoking_occasional	0.006444296786815055	0.878563406948235	0.37996319049573546
cg14656329	Eos	Eos_proportion	-0.028252157222260165	-0.21859423878360146	0.8270348610043992
cg14656329	Eos	disease:Eos_proportion	-0.04541857490765519	-0.2749371027680481	0.7834520622038047
cg25320798	CD4.	(Intercept)	0.8463107644221984	129.77294788736523	0.0
cg25320798	CD4.	disease	-0.0018027400163883028	-0.39552822948140903	0.6925830705797993
cg25320798	CD4.	sexF	-1.8701944150382316e-05	-0.007858979764405246	0.993731921008248
cg25320798	CD4.	age	6.24151391646163e-05	0.6820465419129248	0.4954528563534143
cg25320798	CD4.	smoking_current	-2.7367362512606234e-05	-0.009786938247441488	0.9921942853275995
cg25320798	CD4.	smoking_ex	0.00010132923768399731	0.037110955485556645	0.9704079485829227
cg25320798	CD4.	smoking_occasional	-0.0029938708847865756	-0.761527219965409	0.44661885277620716
cg25320798	CD4.	CD4._proportion	-0.0456433560305936	-1.6982901592936008	0.08993233268252365
cg25320798	CD4.	disease:CD4._proportion	-0.006546093290613869	-0.16233319618432784	0.8710940025075851
cg25320798	CD8.	(Intercept)	0.8424598973437806	129.9689934974112	0.0
cg25320798	CD8.	disease	-0.00027750158243644574	-0.06648525964455211	0.9470119682380742
cg25320798	CD8.	sexF	-0.0004493581364071863	-0.18851004369404512	0.8505357724054001
cg25320798	CD8.	age	6.248958400574188e-05	0.6793613358644655	0.4971511561520109
cg25320798	CD8.	smoking_current	-0.0005977718566466282	-0.21348511458338462	0.8310156447191623
cg25320798	CD8.	smoking_ex	-0.00025866351994057813	-0.09411113788690822	0.9250499197043972
cg25320798	CD8.	smoking_occasional	-0.003389382632582888	-0.8583968300724404	0.3909902841705526
cg25320798	CD8.	CD8._proportion	-0.010149399727560623	-0.33671643122108486	0.7364395262839489
cg25320798	CD8.	disease:CD8._proportion	-0.00965300488818742	-0.21596726417630416	0.8290811236613571
cg25320798	mono	(Intercept)	0.831383139274974	111.19905437186117	0.0
cg25320798	mono	disease	0.01331425855814752	1.9055709782304178	0.057147490669726866
cg25320798	mono	sexF	-0.00011393211191212428	-0.04737677905816102	0.9622275106835123
cg25320798	mono	age	4.9392821338162796e-05	0.5377220365488516	0.5909532952225085
cg25320798	mono	smoking_current	-0.00022750035242025905	-0.08153511433858562	0.9350415385782015
cg25320798	mono	smoking_ex	-5.179951388654524e-05	-0.018978222782587248	0.9848643108932968
cg25320798	mono	smoking_occasional	-0.0035653136015063747	-0.9071533819637365	0.3646623844448199
cg25320798	mono	mono_proportion	0.15061987301342283	2.1245865553116334	0.033998467688076094
cg25320798	mono	disease:mono_proportion	-0.19943638662393504	-2.125369221728103	0.03393289784029448
cg25320798	Bcells	(Intercept)	0.8453193807240303	122.3655286883759	0.0
cg25320798	Bcells	disease	-0.00867095970460532	-1.4439225973231475	0.14924329498399438
cg25320798	Bcells	sexF	-0.0005017221373687505	-0.211091295997106	0.8328822958003007
cg25320798	Bcells	age	7.145497370935803e-05	0.7779143698689047	0.4369029866823171
cg25320798	Bcells	smoking_current	-0.0007182386942297695	-0.25715427754615805	0.7971411848048331
cg25320798	Bcells	smoking_ex	-0.000396513585341411	-0.14488572103724576	0.8848460825488349
cg25320798	Bcells	smoking_occasional	-0.0038922010815133166	-0.9859900425798773	0.32450543578866486
cg25320798	Bcells	Bcells_proportion	-0.05751522018190667	-1.0289056208464862	0.3039073279395432
cg25320798	Bcells	disease:Bcells_proportion	0.12214806478499662	1.4181583649755014	0.15662450862867397
cg25320798	NK	(Intercept)	0.8414881602977861	135.28099859783916	0.0
cg25320798	NK	disease	0.0018631153970819962	0.39625425147212295	0.6920477169511744
cg25320798	NK	sexF	-0.0009088117264894422	-0.37634155667791946	0.7067859856225573
cg25320798	NK	age	7.628542262072788e-05	0.8115042238676459	0.4173736835974551
cg25320798	NK	smoking_current	-0.0009221666984939973	-0.3260105940886903	0.744521430159427
cg25320798	NK	smoking_ex	-0.0002393064917705313	-0.08737179171516256	0.930402941102016
cg25320798	NK	smoking_occasional	-0.0034603498893988546	-0.8780881619267403	0.38022082989630546
cg25320798	NK	NK_proportion	-0.003087907770251974	-0.09210999620530749	0.9266390703578671
cg25320798	NK	disease:NK_proportion	-0.03759484567204746	-0.6927271205696927	0.48872861107148013
cg25320798	Nue	(Intercept)	0.831069189909595	80.41553410937112	0.0
cg25320798	Nue	disease	-0.005933892873907012	-0.4710609399431901	0.6377555104963175
cg25320798	Nue	sexF	-0.0006525422538136462	-0.27486058080505393	0.7835108280320355
cg25320798	Nue	age	7.7478603674329e-05	0.8418837445148396	0.40016314081465054
cg25320798	Nue	smoking_current	-0.000639496602275213	-0.22864845722018629	0.8192141856766236
cg25320798	Nue	smoking_ex	-0.00015503155995811972	-0.05660016092421117	0.9548811269274279
cg25320798	Nue	smoking_occasional	-0.0030992617090706727	-0.7869967812589234	0.4315710404285058
cg25320798	Nue	Nue_proportion	0.017936279330480157	1.181679327212902	0.23776576795499627
cg25320798	Nue	disease:Nue_proportion	0.0055333654696899486	0.2639752894256771	0.7918827578224628
cg25320798	Eos	(Intercept)	0.84192083317228	145.99970982532702	0.0
cg25320798	Eos	disease	-0.0010686130421288945	-0.4678629982552017	0.6400396335289678
cg25320798	Eos	sexF	-0.0005842483667135015	-0.24579982795971075	0.8059149019994734
cg25320798	Eos	age	6.960149397738032e-05	0.7580729481918496	0.4486824909910345
cg25320798	Eos	smoking_current	-0.0004169259979193993	-0.149263949742647	0.881391730476014
cg25320798	Eos	smoking_ex	-0.00012064428754747069	-0.044018819522525725	0.9649029423200306
cg25320798	Eos	smoking_occasional	-0.0032575528846032435	-0.8269073399463663	0.4085934975667763
