chr1,base1,strand1,chr2,base2,strand2,junction_type,read_name
chrM,13989,+,chrM,6342,+,-1,0
chr6,31865722,+,chr6,31651661,+,-1,0
chrM,8461,-,chr19,3977888,+,-1,0
chrM,13437,+,chrM,11104,+,-1,0
chr6,31865785,+,chr6,31651655,+,2,3
chr6,31865785,+,chr6,31651655,+,2,3
chr19,55387971,+,chrM,12030,+,-1,0
chrM,13584,+,chrM,11058,+,0,6
chrM,5308,-,chrM,8625,-,1,8
chrM,8504,-,chrM,13976,-,-1,0
chrM,5294,-,chrM,9086,-,-1,0
chr6,31651655,-,chr6,31865785,-,1,0
chr19,55386625,+,chrM,11260,+,0,0
chr8,144791348,-,chrM,8486,+,0,3
chrM,13275,+,chrM,10730,+,-1,0
chrM,14109,+,chrM,10753,+,-1,0
chrM,9341,-,chrM,12705,-,-1,0
chrM,1670,-,chrM,12960,-,-1,0
chr6,31865785,+,chr6,31651655,+,2,3
chrM,6522,+,chrM,5155,+,-1,0
chrM,8932,-,chrM,13027,-,-1,0
chrM,10868,-,chrM,14041,-,-1,0
chrM,8685,+,chrM,8408,+,-1,0
chr9,130854086,-,chr22,23290386,-,-1,0
chr9,131199016,+,chr22,16808084,-,1,0
chrM,8385,-,chrM,9190,-,1,4
chrM,12969,+,chrM,1688,+,0,6
chrM,11233,-,chrM,13649,-,-1,0
chrM,11228,-,KI270733.1,133933,+,0,2
chr9,131199016,+,chr22,16808084,-,1,0
chrM,13518,+,chrM,9122,+,-1,0
chr6,31651655,-,chr6,31865785,-,1,0
chr22,16808084,+,chr9,131199016,-,2,3
chrM,9571,-,chrM,13935,-,0,7
chr9,131199016,+,chr22,16808042,-,-1,0
chrM,14042,+,chrM,5330,+,-1,0
chrM,2177,-,chrM,14047,-,-1,0
chrM,13951,+,chrM,11161,+,-1,0
chr16,46693092,-,chr16,46824385,+,2,2
chrM,10738,-,chrM,14088,-,-1,0
chr6,31651655,-,chr6,31865785,-,1,0
chrM,7138,-,chrM,13980,-,-1,0
chr6,31865785,+,chr6,31651655,+,2,3
chrM,8658,+,chrM,8456,+,-1,0
chrM,12950,+,chrM,1711,+,-1,0
chrM,7139,-,chrM,14048,-,-1,0
chrM,8656,+,chrM,2279,+,-1,0
chrM,9574,-,chrM,13938,-,0,0
chrM,1675,-,chrM,12957,-,0,5
chrM,8614,-,chrM,12960,-,-1,0
chrM,2238,-,chrM,15828,-,-1,0
chrM,14027,+,chrM,10860,+,-1,0
chrM,8655,+,chrM,8456,+,-1,0
chr6,31865785,+,chr6,31651655,+,2,3
chrM,1687,-,chrM,12968,-,0,1
chrM,1687,-,chr16,400410,-,0,5
chr22,16808084,+,chr9,131199016,-,2,3
chr6,31651665,-,chr6,31865758,-,-1,0
chr22,23290414,+,chr9,130854063,+,1,0
chr9,127445106,-,chr17,76167015,+,0,0
chr12,49128035,+,chrM,2299,+,-1,0
chr6,31651655,-,chr6,31865785,-,1,0
chrM,5332,-,chrM,6497,-,-1,0
chrM,13950,+,chrM,2248,+,-1,0
chrM,8370,-,chrM,8854,-,-1,0
chrM,5352,-,chrM,8650,-,-1,0
chrM,5303,-,chrM,6823,-,-1,0
chrM,8682,-,chrM,11062,-,-1,0
chrM,8450,-,chrM,12539,-,-1,0
chrM,2281,-,chrM,13608,-,-1,0
chr22,23290383,+,chr9,130854060,+,-1,0
chrX,115163774,+,chrX,113938205,+,-1,0
chrM,1689,-,chrM,12518,-,-1,0
chrM,12037,-,chrM,13224,-,-1,0
chrM,13963,+,chrM,9596,+,0,2
chr17,76167015,-,chr9,127445106,+,0,0
chrM,9571,-,chrM,13935,-,0,7
chrM,7812,-,chr7,128865591,-,0,7
chrM,8366,-,chrM,8665,-,0,2
chrM,9571,-,chrM,13935,-,0,7
chr9,130854060,-,chr22,23290383,-,-1,0
chrM,8471,-,chrM,13590,-,-1,0
chr19,58549085,+,chr1,633978,+,0,6
chrM,6844,+,chrM,5329,+,-1,0
chrM,9576,-,chrM,13499,-,-1,0
chr22,23290414,+,chr9,130854063,+,1,0
chrM,1681,-,chrM,12960,-,-1,0
chrM,14059,+,chrM,5384,+,-1,0
chrM,13884,+,chrM,6463,+,-1,0
chr19,55386626,+,chrM,11260,+,0,2
chr9,130854063,-,chr22,23290414,-,2,0
chrM,1711,-,chrM,15689,-,-1,0
chrM,13564,+,chrM,5336,+,-1,0
chrM,8623,-,chrM,15663,-,0,7
chrM,9571,-,chrM,13935,-,0,7
chrM,14016,+,chrM,8504,+,-1,0
chrM,8927,-,chr19,48615878,+,0,6
chrM,5362,-,chrM,14016,-,-1,0
chrM,14133,+,chrM,2273,+,-1,0
chrM,4909,+,chrM,2253,+,0,6
chr9,130854063,-,chr22,23290414,-,2,0
chrM,13937,+,chrM,11348,+,-1,0
chrM,8372,-,chrM,13951,-,0,4
chr1,36462136,-,chrM,9215,+,2,1
chr16,46695561,-,chr16,46824385,+,2,2
chrM,8385,-,chrM,9190,-,1,4
chr21,10491348,+,chr13,18218998,+,1,2
chr1,28508161,+,chr5,139600371,+,1,1
chrM,9581,-,chrM,13987,-,-1,0
chrM,15839,+,chrM,2275,+,-1,0
chr9,131199007,+,chr22,16808030,-,-1,0
chrM,11536,-,chrM,13518,-,-1,0
chrM,8453,-,chrM,13537,-,-1,0
chrM,6493,+,chrM,5345,+,-1,0
chrM,13626,+,chrM,10981,+,-1,0
chrM,13954,+,chrM,9588,+,0,0
chrM,5318,-,chrM,14019,-,-1,0
chr8,144791348,-,chrM,8486,+,0,3
chr9,131198966,+,chr22,16808087,-,-1,0
chrM,11863,-,chrM,13568,-,-1,0
chrM,7139,-,chrM,13975,-,-1,0
chr9,131198969,+,chr22,16808086,-,-1,0
chrM,8452,-,chrM,13501,-,-1,0
chr6,31651655,-,chr6,31865785,-,1,0
chrM,2285,-,chrM,13362,-,-1,0
chrM,1676,-,chrM,15522,-,-1,0
chrM,15521,+,chrM,2281,+,-1,0
chrM,5366,-,chrM,8682,-,-1,0
chrM,11306,+,chrM,8484,+,0,5
chr6,31651655,-,chr6,31865785,-,1,0
chr9,131199016,+,chr22,16808087,-,1,0
chr9,130854060,-,chr22,23290368,-,-1,0
chrM,5297,-,chr3,47610107,+,0,4
chrM,10903,+,chrM,8653,+,-1,0
chrM,2292,-,chr12,49127984,-,-1,0
chrM,13552,+,chrM,8453,+,-1,0
chrM,12735,+,chrM,8456,+,-1,0
chrM,5286,-,chrM,14040,-,-1,0
chrM,5290,-,chr12,6537199,-,0,4
chrM,6395,-,chrM,9103,-,0,2
chrM,1681,-,chrM,6521,-,-1,0
chrM,10699,-,chrM,12502,-,-1,0
chrM,4912,+,chrM,2258,+,0,3
chrM,1687,-,chr16,400410,-,0,5
chrM,9571,-,chrM,13935,-,0,7
chrM,9086,+,chrM,2253,+,0,4
chrM,13584,+,chrM,11058,+,0,6
chr6,31651712,-,chr6,31865788,-,-1,0
chrM,8644,+,chrM,4501,+,-1,0
chrM,8643,-,chrM,15687,-,-1,0
chr6,31651682,-,chr6,31865766,-,-1,0
chr22,16808087,+,chr9,131198929,-,-1,0
chrM,8368,-,chrM,8670,-,0,4
chrM,9086,+,chrM,2253,+,0,4
chrM,11046,-,chrM,12581,-,-1,0
chrM,11230,-,chrM,13914,-,-1,0
chrM,8471,-,chrM,13449,-,1,2
chrM,5376,-,chrM,6551,-,-1,0
chrM,12719,+,chrM,2281,+,-1,0
chrM,12917,+,chrM,5334,+,-1,0
chrM,5290,-,chr12,6537199,-,0,4
chrM,5195,-,chrM,9142,-,-1,0
chrM,2221,-,chrM,15697,-,-1,0
chrM,14047,+,chrM,5385,+,-1,0
chr22,16808087,+,chr9,131198976,-,-1,0
chrM,8456,-,chrM,13710,-,-1,0
chrM,5317,-,chrM,6515,-,0,2
chrM,15663,+,chrM,8643,+,-1,0
chrM,1994,-,chrM,12628,-,-1,0
chrM,8927,-,chrM,13940,-,0,6
chrM,10738,-,chrM,14054,-,-1,0
chr22,16808084,+,chr9,131199016,-,2,3
chr6,31865785,+,chr6,31651655,+,2,3
chrM,7812,-,chr7,128865591,-,0,7
chr22,23290386,+,chr9,130854060,+,-1,0
chr6,31865788,+,chr6,31651694,+,-1,0
chrM,13944,+,chrM,9578,+,0,9
chrM,8620,-,chrM,12921,-,-1,0
chrM,13819,+,chrM,11985,+,-1,0
chrM,11050,+,chrM,8660,+,-1,0
chr7,111769678,+,chr7,111487276,+,-1,0
chr9,130854074,-,chr22,23290367,-,-1,0
chr9,130854063,-,chr22,23290386,-,-1,0
chrM,8927,-,chrM,13940,-,0,6
chr6,31865759,+,chr6,31651646,+,-1,0
chrM,13944,+,chrM,9578,+,0,9
chrM,1685,-,chrM,15321,-,0,3
chrM,2412,-,chrM,14023,-,-1,0
chr9,130854063,-,chr22,23290414,-,2,0
chrM,13832,+,chrM,9093,+,-1,0
chrM,13963,+,chrM,9596,+,0,2
chr22,16808084,+,chr9,131199016,-,2,3
chrM,1726,-,chr12,49127999,-,-1,0
chrM,12966,+,chrM,1684,+,0,2
chr9,130854063,-,chr22,23290414,-,2,0
chrM,8699,-,chrM,14029,-,-1,0
chrM,8452,-,chrM,8664,-,-1,0
chrM,1685,-,chr12,49128082,-,0,4
chrM,11967,+,chrM,8686,+,-1,0
chrM,2327,-,chrM,13537,-,-1,0
chrM,6518,+,chrM,5320,+,0,6
chrM,11229,-,KI270733.1,133931,+,0,2
chr1,28508161,+,chr5,139600371,+,1,1
chrM,1817,-,chrM,6855,-,-1,0
chr19,3979376,-,chrM,8935,+,-1,0
chr6,31865755,+,chr6,31651655,+,-1,0
chr22,23290414,+,chr9,130854063,+,1,0
chrM,13449,+,chrM,8471,+,2,11
chrM,13176,+,chrM,8456,+,-1,0
chr22,23290393,+,chr9,130854084,+,-1,0
chr12,49128143,+,chrM,3072,+,-1,0
chrM,1684,-,chrM,14020,-,-1,0
chr22,16808087,+,chr9,131198973,-,-1,0
chrM,5297,-,chr3,47610107,+,0,4
chrM,10710,-,chrM,12562,-,-1,0
chr6,31651655,-,chr6,31865785,-,1,0
chrM,11880,-,chrM,12957,-,-1,0
chr22,16808084,+,chr9,131199016,-,2,3
chr9,130854063,-,chr22,23290414,-,2,0
chrM,2245,-,chrM,6830,-,-1,0
chrM,6517,-,chrM,13514,-,-1,0
chrM,13944,+,chrM,9578,+,0,9
chrM,5336,-,chrM,7218,-,-1,0
chr19,58549085,+,chr1,633978,+,0,6
chr22,23290386,+,chr9,130854089,+,-1,0
chrM,1675,-,chrM,12957,-,0,5
chr19,55386626,+,chrM,11262,+,0,3
chrM,2293,-,chrM,12838,-,-1,0
chrM,11972,+,chrM,8861,+,-1,0
chr6,31651655,-,chr6,31865785,-,1,0
chrM,9151,+,chrM,5291,+,-1,0
chrM,15876,+,chrM,8461,+,-1,0
chr6,31865785,+,chr6,31651655,+,2,3
chrM,12009,-,chrM,14089,-,-1,0
chrM,5349,-,chrM,13925,-,0,7
chrM,13600,+,chrM,11962,+,-1,0
chrM,9198,+,chrM,5076,+,-1,0
chr9,130854065,-,chr22,23290379,-,-1,0
chrM,8927,-,chrM,13940,-,0,6
chrM,1684,-,chr19,48615878,+,0,2
chrM,8370,-,chrM,8724,-,-1,0
chrM,13944,+,chrM,9578,+,0,9
chrM,6571,+,chrM,5395,+,-1,0
chrM,11332,-,chrM,12528,-,-1,0
chrM,8939,-,chrM,13971,-,-1,0
chrM,4907,-,chrM,14142,-,-1,0
chrM,8503,-,chrM,10923,-,-1,0
chrM,12576,+,chrM,12013,+,-1,0
chrM,8372,-,chrM,13951,-,0,4
chrM,13916,+,chrM,9564,+,-1,0
chrM,6518,+,chrM,5320,+,0,6
chr9,130854063,-,chr22,23290376,-,-1,0
chrM,6485,+,chrM,5292,+,-1,0
chrM,5073,-,chrM,13785,-,-1,0
chrM,8385,-,chrM,9190,-,1,4
chrM,14001,+,chrM,8986,+,-1,0
chrM,6395,-,chrM,9103,-,0,2
chrM,10998,-,chrM,13028,-,-1,0
chrM,15597,+,chrM,8604,+,-1,0
chr6,31865785,+,chr6,31651655,+,2,3
chrM,11301,+,chrM,8479,+,0,0
chr1,634742,-,chr20,62139803,+,0,8
chrX,113938192,-,chrX,115163751,-,-1,0
chrM,12532,+,chrM,6351,+,-1,0
chr9,130854085,-,chr22,23290407,-,-1,0
chrM,8592,-,chrM,15475,-,-1,0
chrM,5329,-,chrM,13989,-,-1,0
chrM,9574,-,chr20,62139802,+,0,0
chrM,12952,+,chrM,1670,+,0,5
chr16,46693092,-,chr16,46824385,+,2,2
chr8,144791294,-,chrM,8449,+,-1,0
chrM,5335,-,chrM,14048,-,-1,0
chrM,11228,-,chrM,13590,-,0,2
chrM,8450,-,chrM,14106,-,-1,0
chrM,10762,-,chrM,13800,-,-1,0
chrM,9423,-,chrM,14056,-,-1,0
chr6,31651655,-,chr6,31865785,-,1,0
chr16,46824385,-,chr16,46695561,+,1,1
chrM,14138,+,chrM,11536,+,-1,0
chr22,23290388,+,chr9,130854080,+,-1,0
chrM,5348,-,chrM,8644,-,-1,0
chrM,5240,-,chrM,8995,-,-1,0
chrM,5291,-,chrM,14030,-,-1,0
chrM,7109,-,chrM,14019,-,-1,0
chrM,2216,-,chr12,49127985,-,-1,0
chrM,12026,-,chr4,24576491,+,-1,0
chrM,2297,-,chrM,13605,-,-1,0
chrM,1685,-,chrM,15321,-,0,3
chrM,2259,-,chr22,36511751,+,0,9
chrM,12932,+,chrM,8604,+,-1,0
chrM,14004,+,chrM,6340,+,2,1
chrM,11232,-,chrM,13590,-,0,6
chrM,14063,+,chrM,5397,+,-1,0
chrM,14015,+,chrM,7140,+,-1,0
chrM,1716,-,chrM,15315,-,-1,0
chrX,113938192,-,chrX,115163784,-,1,0
chrM,8623,-,chrM,15663,-,0,7
chr22,23290414,+,chr9,130854063,+,1,0
chrM,8947,+,chrM,5329,+,-1,0
chrM,12024,-,chr4,24576491,+,-1,0
chrM,1682,-,chr16,400406,-,-1,0
chrM,13613,+,chrM,11311,+,-1,0
chr8,144791348,-,chrM,8486,+,0,3
chrM,1673,-,chrM,13959,-,-1,0
chr1,36462136,-,chrM,9215,+,2,1
chrM,13963,+,chrM,9596,+,0,2
chrM,5349,-,chrM,13925,-,0,7
chrM,8687,+,chrM,8424,+,-1,0
chr9,130854072,-,chr22,23290393,-,-1,0
chrM,11963,-,chrM,13565,-,-1,0
chr9,130854063,-,chr22,23290414,-,2,0
chrM,8708,+,chrM,8450,+,-1,0
chrM,9576,-,chrM,13942,-,0,4
chrM,1682,-,chrM,12555,-,-1,0
chrM,12969,+,chrM,1688,+,0,6
chr19,55386626,+,chrM,11262,+,0,3
chrM,2288,-,chrM,13363,-,-1,0
chrM,2259,-,chr22,36511751,+,0,9
chrM,8927,-,chr19,48615878,+,0,6
chrM,6338,-,chrM,14029,-,-1,0
chrM,8423,-,chrM,13510,-,-1,0
chr9,130854063,-,chr22,23290414,-,2,0
chrM,1716,-,chrM,8644,-,-1,0
chrM,8456,-,chrM,8655,-,-1,0
chr9,131199016,+,chr22,16808059,-,-1,0
chrM,14075,+,chrM,8502,+,-1,0
chrM,10842,-,chrM,13250,-,-1,0
chrM,13870,+,chrM,8491,+,0,9
chrM,2401,-,chrM,14065,-,-1,0
chrM,9571,-,chrM,13935,-,0,7
chrM,11984,+,chrM,8517,+,-1,0
chrM,8365,-,chrM,8762,-,0,1
chrM,5271,-,chrM,8581,-,-1,0
chrM,12430,+,chrM,2247,+,-1,0
chrM,2295,-,chr12,49128002,-,-1,0
chrM,7141,-,chrM,13988,-,-1,0
chrM,14120,+,chrM,8449,+,-1,0
chr6,31865783,+,chr6,31651692,+,-1,0
chrM,14053,+,chrM,5330,+,-1,0
chrM,10748,-,chrM,13888,-,-1,0
chrM,13978,+,chrM,7130,+,-1,0
chrM,8623,-,chrM,15663,-,0,7
chr5,139600371,-,chr1,28508161,-,2,1
chrM,9424,-,chrM,14040,-,-1,0
chrM,8677,+,chrM,8412,+,-1,0
chrM,9573,-,chr20,62139803,+,0,8
chrM,12943,+,chrM,8374,+,-1,0
chrM,9572,-,chrM,13039,-,-1,0
chr9,131199004,+,chr22,16808069,-,-1,0
chr22,23290414,+,chr9,130854063,+,1,0
chrM,5297,-,chr3,47610107,+,0,4
chrM,6946,+,chrM,2624,+,-1,0
chrM,14010,+,chrM,10986,+,-1,0
chr19,58549091,+,chr1,633979,+,-1,0
chrM,8409,-,chrM,14120,-,-1,0
chrM,12944,+,chrM,5324,+,-1,0
chr6,31865785,+,chr6,31651655,+,2,3
chr6,31865741,+,chr6,31651668,+,-1,0
chr19,3976236,-,chrM,8460,+,-1,0
chr9,130854077,-,chr22,23290393,-,-1,0
chrM,5403,-,chrM,13936,-,-1,0
chrM,5302,-,chrM,8678,-,-1,0
chrM,1680,-,chrM,13974,-,-1,0
chrM,8723,+,chrM,8371,+,-1,0
chrM,8461,-,chrM,14016,-,-1,0
chrM,6476,-,chrM,14142,-,-1,0
chr6,31865785,+,chr6,31651655,+,2,3
chrM,5290,-,chr12,6537199,-,0,4
chr9,127445106,-,chr17,76167015,+,0,0
chrM,10975,-,chrM,13989,-,-1,0
chrM,13031,+,chrM,11984,+,-1,0
chrM,13954,+,chrM,9588,+,0,0
chrM,13974,+,chrM,10979,+,-1,0
chr9,130854077,-,chr22,23290389,-,-1,0
