chr1,base1,strand1,chr2,base2,strand2,junction_type,read_name
chr16,400411,+,chrM,1688,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:70:9262:2467
chr22,23290414,+,chr9,130854063,+,1,61PKHAAXX_HWUSI-EAS627_0007:4:117:2727:14925
chrM,7118,-,chrM,13847,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:118:12696:18642
chrM,14040,+,chrM,7140,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:8:6966:3274
chrM,2699,-,chrM,4709,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:98:10490:3806
chrM,8673,+,chrM,5952,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:91:6320:4781
chrM,13989,+,chrM,6342,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:8:12026:8876
chr6,31865722,+,chr6,31651661,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:8:14180:11710
chrM,8461,-,chr19,3977888,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:87:4173:6763
chr22,16808087,+,chr9,131199016,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:100:7307:5313
chrM,13437,+,chrM,11104,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:8:15817:9177
chr6,31865785,+,chr6,31651655,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:58:17448:5389
chr6,31865785,+,chr6,31651655,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:109:10018:14028
chr19,55387971,+,chrM,12030,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:105:17012:17816
chrM,12017,-,chr4,24576494,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:9:5853:12191
chrM,12017,-,chr4,24576494,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:9:6465:13597
chrM,13584,+,chrM,11058,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:105:3716:14945
chrM,5308,-,chrM,8625,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:9:10927:12342
chrM,8504,-,chrM,13976,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:120:6843:1591
chr9,130854063,-,chr22,23290414,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:112:16616:10694
chr9,131199016,+,chr22,16808084,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:70:11804:17811
chrM,5294,-,chrM,9086,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:9:12348:3831
chr6,31651655,-,chr6,31865785,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:9:13136:19072
chrM,13870,+,chrM,8491,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:9:14919:11799
chr19,55386625,+,chrM,11260,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:77:13435:10427
chr8,144791348,-,chrM,8486,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:115:10233:12071
chrM,13275,+,chrM,10730,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:113:7072:13737
chrM,11057,-,chrM,13583,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:67:10257:10942
chrM,14109,+,chrM,10753,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:65:5175:12809
chrM,8926,-,chr19,3979344,+,1,61PKHAAXX_HWUSI-EAS627_0007:4:10:5415:17505
chrM,9341,-,chrM,12705,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:90:18992:14429
chrM,1670,-,chrM,12960,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:10:7180:8466
chr6,31865785,+,chr6,31651655,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:10:8588:6551
chrM,6522,+,chrM,5155,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:10:9548:15049
chrM,8932,-,chrM,13027,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:96:4100:7558
chrM,10868,-,chrM,14041,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:80:14416:13759
chrM,8685,+,chrM,8408,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:10:17251:4085
chr9,130854086,-,chr22,23290386,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:10:17486:17464
chr9,131199016,+,chr22,16808084,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:102:9305:8551
chrM,8385,-,chrM,9190,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:55:17983:14667
chrM,11232,-,chrM,13590,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:89:14187:18052
chrM,12969,+,chrM,1688,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:105:8318:1714
chrM,11233,-,chrM,13649,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:100:16910:16641
chrM,11228,-,KI270733.1,133933,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:11:7043:7604
chr9,131199016,+,chr22,16808084,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:100:14134:19611
chrM,8372,-,chrM,13951,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:11:8720:15435
chrM,13518,+,chrM,9122,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:111:5059:14658
chr6,31651655,-,chr6,31865785,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:83:4633:18016
chr22,16808084,+,chr9,131199016,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:11:12465:11940
chrM,9571,-,chrM,13935,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:11:13851:8833
chr9,131199016,+,chr22,16808042,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:110:13429:6724
chrM,14042,+,chrM,5330,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:110:8652:3695
chrM,2177,-,chrM,14047,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:118:17712:5543
chrM,13951,+,chrM,11161,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:93:10900:20660
chr16,46693092,-,chr16,46824385,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:75:3349:5646
chrM,10738,-,chrM,14088,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:107:14474:7326
chr6,31651655,-,chr6,31865785,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:12:12791:18052
chrM,7138,-,chrM,13980,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:12:13843:20355
chr6,31865785,+,chr6,31651655,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:120:16566:6826
chrM,8658,+,chrM,8456,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:12:19588:17760
chrM,12950,+,chrM,1711,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:110:15825:10308
chrM,7139,-,chrM,14048,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:106:14022:17748
chrM,8656,+,chrM,2279,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:13:7631:20792
chrM,9574,-,chrM,13938,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:13:9498:4952
chrM,1675,-,chrM,12957,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:87:8607:17232
chrM,8614,-,chrM,12960,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:80:6156:2612
chrM,2238,-,chrM,15828,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:65:12957:13142
chrM,14027,+,chrM,10860,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:14:6763:18668
chrM,8655,+,chrM,8456,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:14:8964:2216
chr6,31865785,+,chr6,31651655,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:14:9314:12140
chrM,9571,-,chrM,13935,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:14:10070:7092
chrM,1687,-,chrM,12968,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:14:10071:20798
chrM,1687,-,chr16,400410,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:14:10515:13206
chr22,16808084,+,chr9,131199016,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:106:16518:6600
chr6,31651665,-,chr6,31865758,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:116:2323:20341
chr22,23290414,+,chr9,130854063,+,1,61PKHAAXX_HWUSI-EAS627_0007:4:67:15728:17469
chr9,127445106,-,chr17,76167015,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:15:3510:5776
chr12,49128035,+,chrM,2299,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:120:10769:3472
chr22,23290414,+,chr9,130854063,+,1,61PKHAAXX_HWUSI-EAS627_0007:4:99:9777:9424
chr6,31651655,-,chr6,31865785,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:15:12168:18218
chrM,7132,+,chrM,1694,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:15:12947:10678
chrM,5332,-,chrM,6497,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:84:12539:18887
chrM,13950,+,chrM,2248,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:118:15427:5800
chrM,8370,-,chrM,8854,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:103:18550:20671
chrM,5352,-,chrM,8650,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:102:1883:17471
chrM,5303,-,chrM,6823,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:17:3977:15712
chrM,8682,-,chrM,11062,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:80:18439:4631
chrM,8450,-,chrM,12539,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:17:12455:6550
chrM,2281,-,chrM,13608,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:118:2681:2522
chr22,23290383,+,chr9,130854060,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:17:19275:16842
chrX,115163774,+,chrX,113938205,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:69:9057:4970
chrM,1689,-,chrM,12518,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:60:14579:16901
chrM,12037,-,chrM,13224,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:18:6915:10083
chrM,13963,+,chrM,9596,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:18:10994:17440
chr17,76167015,-,chr9,127445106,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:89:16312:14587
chrM,9571,-,chrM,13935,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:18:13397:13578
chrM,7812,-,chr7,128865591,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:18:15550:4004
chrM,8366,-,chrM,8665,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:74:17515:9344
chrM,9571,-,chrM,13935,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:18:16290:11014
chr9,130854060,-,chr22,23290383,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:118:9052:13877
chrM,8471,-,chrM,13590,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:18:17064:14769
chr19,58549085,+,chr1,633978,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:18:19374:16702
chrM,6844,+,chrM,5329,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:57:14407:8716
chr9,131199016,+,chr22,16808084,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:19:1660:11166
chrM,9576,-,chrM,13499,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:19:1694:5977
chr22,23290414,+,chr9,130854063,+,1,61PKHAAXX_HWUSI-EAS627_0007:4:19:3736:16400
chrM,1681,-,chrM,12960,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:71:10496:15496
chrM,14059,+,chrM,5384,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:19:6727:10887
chrM,13884,+,chrM,6463,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:112:11397:14040
chr19,55386626,+,chrM,11260,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:19:10372:19898
chr9,130854063,-,chr22,23290414,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:19:12852:6031
chrM,1711,-,chrM,15689,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:69:11972:11637
chrM,13564,+,chrM,5336,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:19:13520:7782
chrM,8623,-,chrM,15663,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:19:13703:13004
chrM,9571,-,chrM,13935,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:20:3003:5109
chrM,14016,+,chrM,8504,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:20:3159:6702
chr9,131199016,+,chr22,16808087,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:20:5192:17440
chrM,8927,-,chr19,48615878,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:20:6374:14165
chrM,5362,-,chrM,14016,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:64:15852:12189
chrM,14133,+,chrM,2273,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:20:11212:14510
chrM,4909,+,chrM,2253,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:76:15393:1378
chrM,8926,-,chr19,3979344,+,1,61PKHAAXX_HWUSI-EAS627_0007:4:20:14145:19711
chr9,130854063,-,chr22,23290414,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:64:9282:10143
chrM,13937,+,chrM,11348,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:20:14675:8785
chrM,8372,-,chrM,13951,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:20:15110:8570
chr1,36462136,-,chrM,9215,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:112:3685:5969
chr16,46695561,-,chr16,46824385,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:21:4308:17643
chrM,8385,-,chrM,9190,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:61:13135:20235
chr21,10491348,+,chr13,18218998,+,1,61PKHAAXX_HWUSI-EAS627_0007:4:21:8159:3956
chr1,28508161,+,chr5,139600371,+,1,61PKHAAXX_HWUSI-EAS627_0007:4:21:8774:9996
chrM,9581,-,chrM,13987,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:111:2685:7198
chrM,15839,+,chrM,2275,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:21:11146:16128
chr9,131199007,+,chr22,16808030,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:21:13683:17694
chrM,11536,-,chrM,13518,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:21:16424:2502
chrM,8453,-,chrM,13537,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:22:4509:16413
chrM,6493,+,chrM,5345,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:22:5269:18662
chrM,13626,+,chrM,10981,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:87:10908:19926
chr6,31865785,+,chr6,31651655,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:22:9296:1853
chrM,13954,+,chrM,9588,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:22:12681:18371
chrM,5318,-,chrM,14019,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:22:13574:15627
chr8,144791348,-,chrM,8486,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:75:9261:13869
chr9,131198966,+,chr22,16808087,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:83:8992:16102
chrM,11863,-,chrM,13568,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:104:17571:7556
chrM,7139,-,chrM,13975,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:22:19729:9437
chr9,131198969,+,chr22,16808086,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:23:3033:11675
chrM,8452,-,chrM,13501,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:100:14467:5158
chr6,31651655,-,chr6,31865785,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:74:19623:20494
chrM,2285,-,chrM,13362,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:66:11008:5645
chrM,1676,-,chrM,15522,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:82:19294:10812
chrM,15521,+,chrM,2281,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:81:7322:19199
chrM,5366,-,chrM,8682,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:63:16868:2758
chrM,11306,+,chrM,8484,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:24:5501:11669
chr6,31651655,-,chr6,31865785,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:95:1749:6141
chr9,131199016,+,chr22,16808087,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:101:17531:17552
chr9,130854060,-,chr22,23290368,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:107:14431:15359
chr6,31651655,-,chr6,31865785,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:117:2499:16966
chrM,5297,-,chr3,47610107,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:24:15021:7662
chrM,10903,+,chrM,8653,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:24:16505:1877
chrM,2292,-,chr12,49127984,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:82:18098:2328
chrM,13552,+,chrM,8453,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:105:2171:21163
chr9,130854063,-,chr22,23290414,-,2,61PKHAAXX_HWUSI-EAS627_0007:4:73:13428:3599
chrM,12735,+,chrM,8456,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:73:14767:6362
chrM,5286,-,chrM,14040,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:25:6889:2651
chrM,5290,-,chr12,6537199,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:57:7134:18364
chrM,6395,-,chrM,9103,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:25:10926:15440
chr9,131199016,+,chr22,16808084,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:25:13431:9963
chrM,1681,-,chrM,6521,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:25:15938:18382
chrM,10699,-,chrM,12502,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:80:14818:15282
chrM,4912,+,chrM,2258,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:56:13145:1777
chrM,1687,-,chr16,400410,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:77:11747:5849
chrM,9571,-,chrM,13935,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:63:4295:18715
chrM,9086,+,chrM,2253,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:99:6113:19797
chrM,13584,+,chrM,11058,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:79:13488:12652
chr6,31651712,-,chr6,31865788,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:26:4689:13108
chrM,8644,+,chrM,4501,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:101:15146:16398
chrM,8643,-,chrM,15687,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:26:8296:4079
chr6,31651682,-,chr6,31865766,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:80:18375:11047
chr22,16808087,+,chr9,131198929,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:119:11736:12125
chr6,31651655,-,chr6,31865785,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:75:7941:2504
chrM,8368,-,chrM,8670,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:111:15807:6631
chrM,9086,+,chrM,2253,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:107:7068:19757
chrM,11046,-,chrM,12581,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:94:8719:17591
chrM,12017,-,chr4,24576494,+,0,61PKHAAXX_HWUSI-EAS627_0007:4:56:11721:14172
chrM,11230,-,chrM,13914,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:103:10226:9999
chrM,8471,-,chrM,13449,-,1,61PKHAAXX_HWUSI-EAS627_0007:4:101:5436:17829
chrM,5376,-,chrM,6551,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:71:15050:5658
chrM,12719,+,chrM,2281,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:27:13419:19493
chrM,12917,+,chrM,5334,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:27:15574:14729
chrM,1685,-,chr12,49128082,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:27:19620:11761
chrM,5290,-,chr12,6537199,-,0,61PKHAAXX_HWUSI-EAS627_0007:4:28:5108:2622
chrM,5195,-,chrM,9142,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:82:9804:15392
chrM,2221,-,chrM,15697,-,-1,61PKHAAXX_HWUSI-EAS627_0007:4:75:13385:1754
chrM,14047,+,chrM,5385,+,-1,61PKHAAXX_HWUSI-EAS627_0007:4:28:7410:1299
chrM,14004,+,chrM,6340,+,2,61PKHAAXX_HWUSI-EAS627_0007:4:28:9144:1786
